Randomizer Version: 4.4.0
Random Seed: 191563861191468
Settings String: 318WRIEEjIAAAMABgCRAAKeBnsECQEAFAACCQAuEgAAAAAABRi45ATkAYYICTIGBAIyAAIQRmlyZSBSZWQgKFUpIDEuMZoolK7jwziK

--Patching for National Dex at Start of Game--
Patch successful!

--Randomized Evolutions--
BULBASAUR       -> NIDORINA       
Level 50: KINESIS

369 RELICANTH ->  (no evolution)
HP  109
ATK 118
DEF 38 
SPA 101
SPD 19 
SPE 98 
Level 1 : MINIMIZE
Level 1 : SPARK
Level 1 : BUBBLEBEAM
Level 1 : PSYCHO BOOST
Level 8 : KNOCK OFF
Level 15: BELLY DRUM
Level 22: POUND
Level 29: SCRATCH
Level 36: MEGA DRAIN
Level 43: FACADE
Level 50: COVET
Level 57: EARTHQUAKE
Level 64: DRAGON DANCE

370 LUVDISC ->  (no evolution)
HP  79 
ATK 29 
DEF 78 
SPA 35 
SPD 57 
SPE 52 
Level 1 : IRON DEFENSE
Level 1 : FLAMETHROWER
Level 1 : MEGA PUNCH
Level 1 : SHOCK WAVE
Level 4 : TRANSFORM
Level 12: BUBBLE
Level 16: SLUDGE
Level 24: FORESIGHT
Level 28: PSYCHO BOOST
Level 36: OCTAZOOKA
Level 40: ASSIST
Level 48: FOLLOW ME

371 BAGON -> VIBRAVA
HP  27 
ATK 24 
DEF 36 
SPA 82 
SPD 64 
SPE 66 
Level 1 : SILVER WIND
Level 1 : ERUPTION
Level 1 : DOUBLE TEAM
Level 1 : THUNDERBOLT
Level 5 : WILL-O-WISP
Level 9 : MUD SPORT
Level 17: TWISTER
Level 21: SANDSTORM
Level 25: LEECH SEED
Level 33: MIMIC
Level 37: TWINEEDLE
Level 41: FOCUS ENERGY
Level 49: HYPER BEAM
Level 53: FEATHERDANCE

372 SHELGON -> DRAGONITE
HP  24 
ATK 65 
DEF 14 
SPA 116
SPD 51 
SPE 150
Level 1 : ARM THRUST
Level 1 : FAKE OUT
Level 1 : SUNNY DAY
Level 1 : PSYBEAM
Level 5 : RECYCLE
Level 9 : HARDEN
Level 17: WRAP
Level 21: MIND READER
Level 25: WATER SPORT
Level 30: DRAGON RAGE
Level 38: AEROBLAST
Level 47: SLUDGE
Level 56: FAINT ATTACK
Level 69: PETAL DANCE
Level 78: STUN SPORE

373 SALAMENCE ->  (no evolution)
HP  113
ATK 108
DEF 163
SPA 19 
SPD 14 
SPE 183
Level 1 : MINIMIZE
Level 1 : POISON STING
Level 1 : ANCIENTPOWER
Level 1 : MAGICAL LEAF
Level 5 : SACRED FIRE
Level 9 : CALM MIND
Level 17: ROCK THROW
Level 21: HARDEN
Level 25: RAZOR LEAF
Level 30: BUBBLE
Level 38: ROCK TOMB
Level 47: SWEET SCENT
Level 50: MILK DRINK
Level 61: PECK
Level 79: ARM THRUST
Level 93: GLARE

374 BELDUM -> SOLROCK
HP  44 
ATK 23 
DEF 72 
SPA 62 
SPD 62 
SPE 37 
Level 1 : SCREECH
Level 1 : HI JUMP KICK
Level 1 : CHARGE
Level 1 : SPARK

375 METANG -> ESPEON
HP  36 
ATK 24 
DEF 123
SPA 104
SPD 25 
SPE 107
Level 1 : MIRROR COAT
Level 1 : SLACK OFF
Level 1 : COVET
Level 1 : BLIZZARD
Level 20: SKETCH
Level 20: RETURN
Level 26: LIGHT SCREEN
Level 32: LEER
Level 38: WING ATTACK
Level 44: HYPER BEAM
Level 50: WISH
Level 56: DRAGONBREATH
Level 62: TRIPLE KICK

376 METAGROSS ->  (no evolution)
HP  139
ATK 17 
DEF 144
SPA 98 
SPD 86 
SPE 116
Level 1 : ACID ARMOR
Level 1 : FURY ATTACK
Level 1 : CRUNCH
Level 1 : DRAGON CLAW
Level 20: SPIKES
Level 20: CALM MIND
Level 26: ROCK TOMB
Level 32: MEAN LOOK
Level 38: LEECH LIFE
Level 44: SUPER FANG
Level 55: SMELLINGSALT
Level 66: ICE BALL
Level 77: DOUBLE TEAM

377 REGIROCK ->  (no evolution)
HP  75 
ATK 130
DEF 88 
SPA 78 
SPD 87 
SPE 121
Level 1 : FALSE SWIPE
Level 1 : BIND
Level 1 : ICY WIND
Level 1 : REVENGE
Level 9 : EARTHQUAKE
Level 17: POISON STING
Level 25: CAMOUFLAGE
Level 33: DOUBLE TEAM
Level 41: PIN MISSILE
Level 49: DOOM DESIRE
Level 57: POISON GAS
Level 65: BITE

378 REGICE ->  (no evolution)
HP  134
ATK 138
DEF 107
SPA 67 
SPD 11 
SPE 124
Level 1 : VITAL THROW
Level 1 : BRICK BREAK
Level 1 : HYPER BEAM
Level 1 : JUMP KICK
Level 9 : UPROAR
Level 17: GROWL
Level 25: BLAST BURN
Level 33: SLASH
Level 41: RETURN
Level 49: THRASH
Level 57: BLIZZARD
Level 65: MIST BALL

379 REGISTEEL ->  (no evolution)
HP  143
ATK 85 
DEF 44 
SPA 72 
SPD 122
SPE 114
Level 1 : ANCIENTPOWER
Level 1 : COMET PUNCH
Level 1 : AURORA BEAM
Level 1 : HEAT WAVE
Level 9 : HORN DRILL
Level 17: THUNDERPUNCH
Level 25: BIND
Level 33: DYNAMICPUNCH
Level 41: KNOCK OFF
Level 41: TRICK
Level 49: SLACK OFF
Level 57: WATER SPORT
Level 65: THUNDERBOLT

380 LATIAS ->  (no evolution)
HP  126
ATK 140
DEF 141
SPA 60 
SPD 118
SPE 16 
Level 1 : BIND
Level 1 : EXPLOSION
Level 1 : ROLLOUT
Level 1 : VOLT TACKLE
Level 5 : CONVERSION
Level 10: RAZOR LEAF
Level 15: SING
Level 20: BATON PASS
Level 25: TRANSFORM
Level 30: SNATCH
Level 35: SHADOW PUNCH
Level 40: POISON TAIL
Level 45: NIGHTMARE
Level 50: GUILLOTINE

381 LATIOS ->  (no evolution)
HP  50 
ATK 63 
DEF 134
SPA 133
SPD 106
SPE 114
Level 1 : PERISH SONG
Level 1 : VOLT TACKLE
Level 1 : HELPING HAND
Level 1 : VITAL THROW
Level 5 : BUBBLEBEAM
Level 10: LEECH SEED
Level 15: SLASH
Level 20: WRAP
Level 25: DOUBLE-EDGE
Level 30: SOLARBEAM
Level 35: TORMENT
Level 40: FIRE SPIN
Level 45: SAND-ATTACK
Level 50: BODY SLAM

382 KYOGRE ->  (no evolution)
HP  90 
ATK 46 
DEF 155
SPA 63 
SPD 127
SPE 188
Level 1 : FISSURE
Level 1 : BLOCK
Level 1 : CAMOUFLAGE
Level 1 : WATER SPOUT
Level 5 : THUNDER
Level 15: TEETER DANCE
Level 20: BLAST BURN
Level 30: ROCK BLAST
Level 35: FLAIL
Level 45: POISON STING
Level 50: BIND
Level 60: THUNDERBOLT
Level 65: WATER GUN
Level 75: SPARK

383 GROUDON ->  (no evolution)
HP  173
ATK 105
DEF 55 
SPA 133
SPD 122
SPE 82 
Level 1 : CURSE
Level 1 : FURY CUTTER
Level 1 : WEATHER BALL
Level 1 : THUNDERPUNCH
Level 5 : SLEEP TALK
Level 15: SLUDGE
Level 20: GRUDGE
Level 30: ARM THRUST
Level 35: HORN DRILL
Level 45: COSMIC POWER
Level 50: CAMOUFLAGE
Level 60: MIRROR MOVE
Level 65: BLOCK
Level 75: SANDSTORM

384 RAYQUAZA ->  (no evolution)
HP  147
ATK 54 
DEF 213
SPA 51 
SPD 144
SPE 70 
Level 1 : ABSORB
Level 1 : ROLLOUT
Level 1 : MIST BALL
Level 1 : BITE
Level 5 : IMPRISON
Level 15: REST
Level 20: PSYCHO BOOST
Level 30: GIGA DRAIN
Level 35: CONSTRICT
Level 45: BONEMERANG
Level 50: LOCK-ON
Level 60: MEGA DRAIN
Level 65: LEAF BLADE
Level 75: PROTECT

385 JIRACHI ->  (no evolution)
HP  61 
ATK 91 
DEF 108
SPA 99 
SPD 145
SPE 96 
Level 1 : MEAN LOOK
Level 1 : AIR CUTTER
Level 1 : TAIL GLOW
Level 1 : PETAL DANCE
Level 5 : AROMATHERAPY
Level 10: TAKE DOWN
Level 15: DESTINY BOND
Level 20: BULLET SEED
Level 25: DREAM EATER
Level 30: BARRAGE
Level 35: MACH PUNCH
Level 40: MEGA KICK
Level 45: COUNTER
Level 50: TWINEEDLE

386 DEOXYS ->  (no evolution)
HP  134
ATK 166
DEF 118
SPA 77 
SPD 26 
SPE 79 
Level 1 : GROWL
Level 1 : DETECT
Level 1 : CONSTRICT
Level 1 : HYPER FANG
Level 5 : SUPERSONIC
Level 10: WISH
Level 15: METAL CLAW
Level 20: PSYCH UP
Level 25: HYPER BEAM
Level 30: WING ATTACK
Level 35: HORN DRILL
Level 40: COUNTER
Level 45: AMNESIA
Level 50: BLAST BURN


--Trainers Pokemon--
#1 (AQUA LEADER  => Performer )@23EB60 - CHINCHOU Lv8
#2 (TEAM AQUA  => Botanist )@23EB88 - SKIPLOOM Lv8
#3 (TEAM AQUA  => Botanist )@23EBB0 - TORCHIC Lv8
#4 (AROMA LADY  => Designer )@23EBD8 - DROWZEE Lv8
#5 (RUIN MANIAC  => Manager )@23EC00 - POLITOED Lv8
#6 (INTERVIEWER  => Ranger )@23EC28 - NATU Lv8
#7 (TUBER  => Gentleman )@23EC50 - DODRIO Lv57
#8 (TUBER  => Gentleman )@23EC78 - BEEDRILL Lv57
#9 (COOLTRAINER  => Artisan )@23ECA0 - OCTILLERY Lv8
#10 (COOLTRAINER  => Artisan )@23ECC8 - SEEDOT Lv8
#11 (HEX MANIAC  => Leader )@23ECF0 - VIGOROTH Lv8
#12 (LADY  => Elite Four )@23ED18 - SPINDA Lv8
#13 (BEAUTY  => Strong Man )@23ED40 - MR. MIME Lv8
#14 (RICH BOY  => Nurse )@23ED68 - ENTEI Lv8
#15 (POKéMANIAC  => Bug Catcher )@23ED90 - MAGNETON Lv8
#16 (SWIMMER♂  => Fisher )@23EDB8 - COMBUSKEN Lv8
#17 (BLACK BELT  => Botanist )@23EDE0 - SALAMENCE Lv8
#18 (GUITARIST  => Lazy )@23EE08 - HOOTHOOT Lv8
#19 (KINDLER  => Cyclist )@23EE30 - PELIPPER Lv8
#20 (CAMPER  => Lady )@23EE58 - GOLDEEN Lv8
#21 (BUG MANIAC  => Writer )@23EE80 - SLUGMA Lv8
#22 (PSYCHIC  => Ranger )@23EEA8 - DROWZEE Lv8
#23 (PSYCHIC  => Ranger )@23EED0 - METANG Lv8
#24 (GENTLEMAN  => Lazy )@23EEF8 - TAILLOW Lv8
#25 (ELITE FOUR SIDNEY => Elite Four Donna)@23EF20 - BLISSEY Lv8
#26 (ELITE FOUR PHOEBE => Elite Four Antoinette)@23EF48 - RHYDON Lv8
#27 (LEADER ROXANNE => Elite Four Malcolm)@23EF70 - KAKUNA Lv8
#28 (LEADER BRAWLY => Elite Four Pi)@23EF98 - REGISTEEL Lv8
#29 (LEADER TATE&LIZA => Elite Four Stu & Nick)@23EFC0 - IVYSAUR Lv8
#30 (SCHOOL KID  => Fisher )@23EFE8 - GEODUDE Lv8
#31 (SCHOOL KID  => Fisher )@23F010 - TREECKO Lv8
#32 (SR. AND JR.  => Twins )@23F038 - SKIPLOOM Lv8
#33 (POKéFAN  => Fan )@23F060 - NIDORAN♀ Lv8
#34 (POKéFAN  => Fan )@23F088 - PIDGEY Lv8
#35 (EXPERT  => Chef )@23F0B0 - CASTFORM Lv8
#36 (EXPERT  => Chef )@23F0D8 - CACNEA Lv8
#37 (YOUNGSTER  => Cooltrainer♂ )@23F100 - DUSTOX Lv8
#38 (CHAMPION  => Manager )@23F128 - GLIGAR Lv8
#39 (FISHERMAN  => Artist )@23F150 - CRAWDAUNT Lv8
#40 (TRIATHLETE  => Engineer )@23F178 - NUMEL Lv8
#41 (TRIATHLETE  => Engineer )@23F1A0 - LEDYBA Lv8
#42 (TRIATHLETE  => Engineer )@23F1C8 - TANGELA Lv8
#43 (TRIATHLETE  => Engineer )@23F1F0 - SPINARAK Lv8
#44 (TRIATHLETE  => Engineer )@23F218 - STEELIX Lv8
#45 (TRIATHLETE  => Engineer )@23F240 - NUMEL Lv8
#46 (DRAGON TAMER  => Preschooler )@23F268 - SHARPEDO Lv8
#47 (BIRD KEEPER  => Ghostwriter )@23F290 - SNUBBULL Lv8
#48 (NINJA BOY  => Entrepreneur )@23F2B8 - DUNSPARCE Lv8
#49 (BATTLE GIRL  => Chef )@23F2E0 - ELECTABUZZ Lv8
#50 (PARASOL LADY  => Rich Kid )@23F308 - RAPIDASH Lv8
#51 (SWIMMER♀  => Technician )@23F330 - VILEPLUME Lv8
#52 (PICNICKER  => Sailor )@23F358 - PARAS Lv8
#53 (TWINS  => Champions )@23F380 - MANECTRIC Lv8
#54 (SAILOR  => Chef )@23F3A8 - STEELIX Lv8
#55 (BOARDER  => Ace Trainer )@23F3D0 - MAGCARGO Lv8
#56 (BOARDER  => Ace Trainer )@23F3F8 - METANG Lv8
#57 (COLLECTOR  => Director )@23F420 - LINOONE Lv8
#58 ([PK][MN] TRAINER  => Operator )@23F448 - WOOPER Lv8
#59 ([PK][MN] TRAINER  => Operator )@23F470 - CACTURNE Lv8
#60 ([PK][MN] TRAINER  => Operator )@23F498 - OMASTAR Lv8
#61 ([PK][MN] TRAINER  => Operator )@23F4C0 - STARMIE Lv8
#62 ([PK][MN] TRAINER  => Operator )@23F4E8 - CYNDAQUIL Lv8
#63 ([PK][MN] TRAINER  => Operator )@23F510 - PORYGON2 Lv8
#64 ([PK][MN] TRAINER  => Operator )@23F538 - BRELOOM Lv8
#65 ([PK][MN] BREEDER  => Gentleman )@23F560 - HOUNDOOM Lv8
#66 ([PK][MN] BREEDER  => Gentleman )@23F588 - TORCHIC Lv8
#67 ([PK][MN] RANGER  => Fisher )@23F5B0 - SNORLAX Lv8
#68 ([PK][MN] RANGER  => Fisher )@23F5D8 - ABRA Lv8
#69 (MAGMA LEADER  => Swimmer )@23F600 - PORYGON Lv8
#70 (TEAM MAGMA  => Entrepreneur )@23F628 - PONYTA Lv8
#71 (TEAM MAGMA  => Entrepreneur )@23F650 - RATTATA Lv8
#72 (LASS  => Director )@23F678 - POLIWRATH Lv8
#73 (BUG CATCHER  => Tamer )@23F6A0 - SEAKING Lv8
#74 (HIKER  => Ghostwriter )@23F6C8 - WHISCASH Lv8
#75 (YOUNG COUPLE  => Sr. & Jr. )@23F6F0 - SEVIPER Lv8, MACHOKE Lv8
#76 (OLD COUPLE  => Sr&Jr )@23F718 - BAYLEEF Lv8
#77 (SIS AND BRO  => Mom & Pa )@23F740 - RAICHU Lv8
#78 (AQUA ADMIN MATT => Artist Tia)@23F768 - ZAPDOS Lv8
#79 (AQUA ADMIN SHELLY => Artist Jacqueline)@23F790 - MARSHTOMP Lv8
#80 (MAGMA ADMIN TABITHA => Poet Mark)@23F7B8 - MEW Lv8
#81 (MAGMA ADMIN COURTNEY => Poet Zoey)@23F7E0 - GYARADOS Lv8
#82 (LEADER WATTSON => Elite Four Scott)@23F808 - KOFFING Lv8
#83 (LEADER FLANNERY => Elite Four Wellington)@23F830 - SCEPTILE Lv8
#84 (LEADER NORMAN => Elite Four Veronica)@23F858 - HOUNDOUR Lv8
#85 (LEADER WINONA => Elite Four Wayne)@23F880 - AMPHAROS Lv8
#86 (LEADER WALLACE => Elite Four Thomas)@23F8A8 - HITMONTOP Lv8
#87 (ELITE FOUR GLACIA => Elite Four Mallorie)@23F8D0 - MAGBY Lv8
#88 (ELITE FOUR DRAKE => Elite Four Jasmine)@23F8F8 - MASQUERAIN Lv8
#89 (YOUNGSTER BEN => Cooltrainer♂ Landon)@23F920 - HOUNDOUR Lv17, AIPOM Lv17
#90 (YOUNGSTER CALVIN => Cooltrainer♂ Stacey)@23F948 - SLUGMA Lv21
#91 (YOUNGSTER JOSH => Cooltrainer♂ Thomas)@23F970 - SANDSHREW Lv15, TYRANITAR Lv15, URSARING Lv15
#92 (YOUNGSTER TIMMY => Cooltrainer♂ Sonya)@23F998 - GARDEVOIR Lv21, SANDSLASH Lv21
#93 (YOUNGSTER JOEY => Cooltrainer♂ Lillianna)@23F9C0 - WHISMUR Lv23, ENTEI Lv23
#94 (YOUNGSTER DAN => Cooltrainer♂ Robin)@23F9E8 - SHELGON Lv26
#95 (YOUNGSTER CHAD => Cooltrainer♂ Lillianna)@23FA10 - GLALIE Lv21, WARTORTLE Lv21
#96 (YOUNGSTER TYLER => Cooltrainer♂ Jacqueline)@23FA38 - SHUCKLE Lv32
#97 (YOUNGSTER EDDIE => Cooltrainer♂ Tia)@23FA60 - RAPIDASH Lv32
#98 (YOUNGSTER DILLON => Cooltrainer♂ Zoey)@23FA88 - DRATINI Lv29, LARVITAR Lv29
#99 (YOUNGSTER YASU => Cooltrainer♂ Malcolm)@23FAB0 - LATIOS Lv26, QUILAVA Lv26, LATIOS Lv26
#100 (YOUNGSTER DAVE => Cooltrainer♂ Jill)@23FAD8 - WIGGLYTUFF Lv27, MEGANIUM Lv27
#101 (YOUNGSTER BEN => Cooltrainer♂ Landon)@23FB00 - VENONAT Lv26, SLAKING Lv26
#102 (BUG CATCHER RICK => Tamer Joey)@23FB28 - CELEBI Lv9, ROSELIA Lv9
#103 (BUG CATCHER DOUG => Tamer Sonya)@23FB50 - ONIX Lv11, COMBUSKEN Lv11, CHARMANDER Lv11
#104 (BUG CATCHER SAMMY => Tamer Chloe)@23FB78 - GOLEM Lv14
#105 (BUG CATCHER COLTON => Tamer Mallorie)@23FBA0 - EKANS Lv15, NOCTOWL Lv15, EXEGGCUTE Lv15
#106 (BUG CATCHER GREG => Tamer Jacqueline)@23FBC8 - REGIROCK Lv14, SUNKERN Lv14, VENONAT Lv14, TOGETIC Lv14
#107 (BUG CATCHER JAMES => Tamer Robin)@23FBF0 - GIRAFARIG Lv17, SMOOCHUM Lv17
#108 (BUG CATCHER KENT => Tamer Webster)@23FC18 - VOLBEAT Lv17, SALAMENCE Lv17
#109 (BUG CATCHER ROBBY => Tamer Ann)@23FC40 - IVYSAUR Lv15, TAUROS Lv15, TOGETIC Lv15
#110 (BUG CATCHER CALE => Tamer Donna)@23FC68 - BULBASAUR Lv15, FURRET Lv15, WIGGLYTUFF Lv15, JIRACHI Lv15
#111 (BUG CATCHER KEIGO => Tamer Pi)@23FC90 - ARON Lv24, LUGIA Lv24, ARBOK Lv24
#112 (BUG CATCHER ELIJAH => Tamer Kimberley)@23FCB8 - VICTREEBEL Lv30
#113 (BUG CATCHER  => Tamer )@23FCE0 - ONIX Lv27, COMBUSKEN Lv27, MIGHTYENA Lv27
#114 (BUG CATCHER BRENT => Tamer Dudley)@23FD08 - ELECTRIKE Lv29, CUBONE Lv29
#115 (BUG CATCHER CONNER => Tamer Bob)@23FD30 - LUNATONE Lv30, ARBOK Lv30, KANGASKHAN Lv30
#116 (LASS JANICE => Director Mike)@23FD58 - LEDIAN Lv14, MILOTIC Lv14
#117 (LASS SALLY => Director Webster)@23FD80 - HOOTHOOT Lv15, ZANGOOSE Lv15
#118 (LASS ROBIN => Director Zoey)@23FDA8 - BELLSPROUT Lv21
#119 (LASS CRISSY => Director Crystal)@23FDD0 - HERACROSS Lv47, WAILORD Lv47, KINGLER Lv47
#120 (LASS MIRIAM => Director Stacey)@23FDF8 - GRIMER Lv17, CHARMELEON Lv17
#121 (LASS IRIS => Director Cristiano)@23FE20 - DONPHAN Lv21
#122 (LASS RELI => Director Wayne)@23FE48 - BEEDRILL Lv24, MARILL Lv24
#123 (LASS ALI => Director Chloe)@23FE70 - ELEKID Lv18, KOFFING Lv18, SHUCKLE Lv18
#124 (LASS  => Director )@23FE98 - SLAKING Lv23, POLIWAG Lv23
#125 (LASS HALEY => Director Noelle)@23FEC0 - URSARING Lv20, CACTURNE Lv20, RATTATA Lv20
#126 (LASS ANN => Director Jessica)@23FEE8 - FLAREON Lv27, IVYSAUR Lv27
#127 (LASS DAWN => Director Wellington)@23FF10 - QUAGSIRE Lv27, KIRLIA Lv27
#128 (LASS PAIGE => Director Marcellus)@23FF38 - GRANBULL Lv35, MASQUERAIN Lv35
#129 (LASS ANDREA => Director Kimberley)@23FF60 - LUNATONE Lv36, CORSOLA Lv36, KINGLER Lv36
#130 (LASS MEGAN => Director Crystal)@23FF88 - MAGNETON Lv29, PIKACHU Lv29, RAYQUAZA Lv29, SLOWPOKE Lv29, ARON Lv29
#131 (LASS JULIA => Director Chloe)@23FFB0 - CHIMECHO Lv33, LANTURN Lv33
#132 (LASS KAY => Director Mallorie)@23FFD8 - GOLEM Lv35, FLAREON Lv35
#133 (LASS LISA => Director Jimmy)@240000 - VENOMOTH Lv35, TORKOAL Lv35
#134 (SAILOR EDMOND => Chef Crystal)@240028 - METANG Lv27, TAUROS Lv27
#135 (SAILOR TREVOR => Chef Lawrence)@240050 - ONIX Lv26, METANG Lv26
#136 (SAILOR LEONARD => Chef Mike)@240078 - SPINDA Lv32
#137 (SAILOR DUNCAN => Chef Marshall)@2400A0 - TOGEPI Lv26, SWABLU Lv26, ELECTRIKE Lv26
#138 (SAILOR HUEY => Chef Dudley)@2400C8 - LOMBRE Lv27, NOCTOWL Lv27
#139 (SAILOR DYLAN => Chef Robin)@2400F0 - TOGETIC Lv26, SWABLU Lv26, URSARING Lv26
#140 (SAILOR PHILLIP => Chef Florentino)@240118 - NIDOQUEEN Lv30
#141 (SAILOR DWAYNE => Chef Pi)@240140 - SABLEYE Lv32, VENOMOTH Lv32
#142 (CAMPER LIAM => Lady Kimberley)@240168 - PICHU Lv15, SLUGMA Lv17
#143 (CAMPER SHANE => Lady Jo)@240190 - CHINCHOU Lv21, DODRIO Lv21
#144 (CAMPER ETHAN => Lady Wellington)@2401B8 - MILTANK Lv27
#145 (CAMPER RICKY => Lady Rachel)@2401E0 - MAWILE Lv30
#146 (CAMPER JEFF => Lady Malcolm)@240208 - LOTAD Lv24, SANDSHREW Lv24
#147 (CAMPER  => Lady )@240230 - NUZLEAF Lv8
#148 (CAMPER CHRIS => Lady Dudley)@240258 - DODRIO Lv32, BANETTE Lv32
#149 (CAMPER DREW => Lady Noelle)@240280 - CORPHISH Lv29, SANDSLASH Lv29, BLISSEY Lv29, BUTTERFREE Lv29
#150 (PICNICKER DIANA => Sailor Bob)@2402A8 - GOLEM Lv29
#151 (PICNICKER NANCY => Sailor Tia)@2402D0 - SCEPTILE Lv24, CROBAT Lv24
#152 (PICNICKER ISABELLE => Sailor Kim)@2402F8 - GROUDON Lv24, SANDSHREW Lv24, DRAGONAIR Lv24
#153 (PICNICKER KELSEY => Sailor Mallorie)@240320 - ARIADOS Lv23, KABUTOPS Lv23
#154 (PICNICKER ALICIA => Sailor Mike)@240348 - GRIMER Lv27, CHARMELEON Lv27, WAILMER Lv27, SCYTHER Lv27
#155 (PICNICKER CAITLIN => Sailor Malcolm)@240370 - HERACROSS Lv35
#156 (PICNICKER HEIDI => Sailor Malcolm)@240398 - LINOONE Lv30, POLITOED Lv30
#157 (PICNICKER CAROL => Sailor Forrest)@2403C0 - WIGGLYTUFF Lv32, RELICANTH Lv32
#158 (PICNICKER SOFIA => Sailor Lawrence)@2403E8 - ELECTRODE Lv32, MR. MIME Lv32, KINGDRA Lv32
#159 (PICNICKER MARTHA => Sailor Malcolm)@240410 - BLASTOISE Lv33, CAMERUPT Lv33
#160 (PICNICKER TINA => Sailor Malcolm)@240438 - AERODACTYL Lv36, SEVIPER Lv36
#161 (PICNICKER HANNAH => Sailor Mike)@240460 - STEELIX Lv36, MAROWAK Lv36, TYRANITAR Lv36, MAGCARGO Lv36, KANGASKHAN Lv36
#162 (POKéMANIAC MARK => Bug Catcher Anne)@240488 - CELEBI Lv44, SWELLOW Lv44
#163 (POKéMANIAC HERMAN => Bug Catcher Mark)@2404B0 - TROPIUS Lv30, ILLUMISE Lv30
#164 (POKéMANIAC COOPER => Bug Catcher Marilyn)@2404D8 - ALAKAZAM Lv30, HITMONCHAN Lv30, DUNSPARCE Lv30
#165 (POKéMANIAC STEVE => Bug Catcher Wayne)@240500 - SHUCKLE Lv33, RELICANTH Lv33
#166 (POKéMANIAC WINSTON => Bug Catcher Rachel)@240528 - BLAZIKEN Lv38
#167 (POKéMANIAC DAWSON => Bug Catcher Kimberley)@240550 - SCEPTILE Lv60, GLALIE Lv60, GROUDON Lv60
#168 (POKéMANIAC ASHTON => Bug Catcher Mark)@240578 - STEELIX Lv35, CHARIZARD Lv35
#169 (SUPER NERD JOVAN => Ranger Scarlett)@2405A0 - HOOTHOOT Lv17, REGISTEEL Lv17
#170 (SUPER NERD MIGUEL => Ranger Chloe)@2405C8 - MEDITITE Lv18, HOUNDOOM Lv18, HO-OH Lv18
#171 (SUPER NERD AIDAN => Ranger Veronica)@2405F0 - SALAMENCE Lv30, ARMALDO Lv30, DRAGONITE Lv30, MILOTIC Lv30
#172 (SUPER NERD GLENN => Ranger Scott)@240618 - NOCTOWL Lv33, BLAZIKEN Lv33, TOGETIC Lv33
#173 (SUPER NERD LESLIE => Ranger Donna)@240640 - CRADILY Lv39
#174 (SUPER NERD  => Ranger )@240668 - KANGASKHAN Lv33, BLAZIKEN Lv33, SEVIPER Lv33
#175 (SUPER NERD  => Ranger )@240690 - FURRET Lv30, RATICATE Lv30, PRIMEAPE Lv30, GRANBULL Lv30
#176 (SUPER NERD  => Ranger )@2406B8 - VICTREEBEL Lv36, CASTFORM Lv36
#177 (SUPER NERD ERIK => Ranger Robin)@2406E0 - SHUCKLE Lv54, FARFETCH’D Lv54, DUNSPARCE Lv54
#178 (SUPER NERD AVERY => Ranger Noelle)@240708 - HITMONLEE Lv51, CLOYSTER Lv51, VENOMOTH Lv51, VOLBEAT Lv51
#179 (SUPER NERD DEREK => Ranger Leo)@240730 - DEWGONG Lv62
#180 (SUPER NERD ZAC => Ranger Anne)@240758 - ELECTRODE Lv56, AGGRON Lv56
#181 (HIKER MARCOS => Ghostwriter Ann)@240780 - GRIMER Lv15, STEELIX Lv15, POLIWHIRL Lv15
#182 (HIKER FRANKLIN => Ghostwriter Wayne)@2407A8 - GASTLY Lv23, WIGGLYTUFF Lv23
#183 (HIKER NOB => Ghostwriter Forrest)@2407D0 - WAILORD Lv20, EXEGGUTOR Lv20, CLEFFA Lv20, PLUSLE Lv20
#184 (HIKER WAYNE => Ghostwriter Mia)@2407F8 - PARASECT Lv26
#185 (HIKER ALAN => Ghostwriter Landon)@240820 - DRAGONITE Lv32, WEEZING Lv32
#186 (HIKER BRICE => Ghostwriter Lillianna)@240848 - OMASTAR Lv30, RELICANTH Lv30, TYPHLOSION Lv30
#187 (HIKER CLARK => Ghostwriter Lillianna)@240870 - LUDICOLO Lv32, PORYGON2 Lv32
#188 (HIKER TRENT => Ghostwriter Esteban)@240898 - RAICHU Lv29, CRAWDAUNT Lv29
#189 (HIKER DUDLEY => Ghostwriter Mark)@2408C0 - NINJASK Lv32, DONPHAN Lv32, BANETTE Lv32
#190 (HIKER ALLEN => Ghostwriter Mike)@2408E8 - PIDGEOT Lv38
#191 (HIKER ERIC => Ghostwriter Chloe)@240910 - CASTFORM Lv30, URSARING Lv30
#192 (HIKER LENNY => Ghostwriter Joe)@240938 - KINGDRA Lv29, YANMA Lv29, GRAVELER Lv29, FLYGON Lv29
#193 (HIKER OLIVER => Ghostwriter Thomas)@240960 - VENUSAUR Lv30, MAGCARGO Lv30, STANTLER Lv30
#194 (HIKER LUCAS => Ghostwriter Joey)@240988 - GLIGAR Lv32, PELIPPER Lv32
#195 (BIKER JARED => Dancer Pi)@2409B0 - AERODACTYL Lv42, GLIGAR Lv42, CACTURNE Lv42
#196 (BIKER MALIK => Dancer Pansy)@2409D8 - OMASTAR Lv44, PORYGON2 Lv44
#197 (BIKER ERNEST => Dancer Tristian)@240A00 - ILLUMISE Lv38, DEWGONG Lv38, RATICATE Lv38, BANETTE Lv38, CHARIZARD Lv38
